Unnamed: 0,model,top_speed_kmh,battery_capacity_kWh,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,length_mm,width_mm,height_mm,brand_Abarth,brand_Aiways,brand_Alfa,brand_Alpine,brand_Audi,brand_BMW,brand_BYD,brand_CUPRA,brand_Cadillac,brand_Citroen,brand_DS,brand_Dacia,brand_Dongfeng,brand_Elaris,brand_Fiat,brand_Ford,brand_GWM,brand_Genesis,brand_Honda,brand_Hongqi,brand_Hyundai,brand_Jaguar,brand_Jeep,brand_KGM,brand_Kia,brand_Lancia,brand_Leapmotor,brand_Lexus,brand_Lotus,brand_Lucid,brand_Lynk&Co,brand_MG,brand_Maserati,brand_Maxus,brand_Mazda,brand_Mercedes-Benz,brand_Mini,brand_NIO,brand_Nissan,brand_Omoda,brand_Opel,brand_Peugeot,brand_Polestar,brand_Porsche,brand_Renault,brand_Rolls-Royce,brand_Skoda,brand_Skywell,brand_Smart,brand_Subaru,brand_Tesla,brand_Toyota,brand_VinFast,brand_Volkswagen,brand_Volvo,brand_Voyah,brand_XPENG,brand_Zeekr,fast_charge_port_CCS,fast_charge_port_CHAdeMO,segment_A - Mini,segment_B - Compact,segment_C - Medium,segment_D - Large,segment_E - Executive,segment_F - Luxury,segment_G - Sports,segment_I - Luxury,segment_JA - Mini,segment_JB - Compact,segment_JC - Medium,segment_JD - Large,segment_JE - Executive,segment_JF - Luxury,segment_N - Passenger Van,drivetrain_AWD,drivetrain_FWD,drivetrain_RWD,car_body_type_Cabriolet,car_body_type_Coupe,car_body_type_Hatchback,car_body_type_Liftback Sedan,car_body_type_SUV,car_body_type_Sedan,car_body_type_Small Passenger Van,car_body_type_Station/Estate
0,500e Convertible,0.15,0.170630816959669,0.174074074074074,0.1800766283524904,0.1636363636363636,0.2840236686390532,0.1507936507936508,0.0,0.0243030736240171,0.2857142857142857,0.0231643356643358,0.15531914893617,0.2876712328767121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,500e Hatchback,0.15,0.170630816959669,0.174074074074074,0.1532567049808428,0.1636363636363636,0.2840236686390532,0.1507936507936508,0.0,0.0243030736240171,0.2857142857142857,0.0231643356643358,0.15531914893617,0.2876712328767121,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,600e Scorpionissima,0.375,0.3050672182006204,0.2555555555555555,0.1877394636015326,0.2636363636363635,0.2189349112426035,0.1984126984126984,0.0,0.1493924231593995,0.4285714285714285,0.2478146853146854,0.359574468085106,0.3470319634703194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,600e Turismo,0.375,0.3050672182006204,0.2555555555555555,0.1877394636015326,0.2636363636363635,0.2366863905325443,0.1984126984126984,0.0,0.1493924231593995,0.4285714285714285,0.2478146853146854,0.359574468085106,0.3470319634703194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,U5,0.125,0.4002068252326783,0.2296296296296296,0.1800766283524904,0.3272727272727272,0.3136094674556212,0.1944444444444444,0.0,0.2466047176554681,0.4285714285714285,0.4632867132867133,0.5425531914893615,0.5646879756468799,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,U6,0.175,0.4002068252326783,0.2333333333333333,0.1570881226053639,0.3909090909090909,0.2840236686390532,0.1944444444444444,0.0,0.2294496068620443,0.4285714285714285,0.5179195804195804,0.5744680851063828,0.4748858447488584,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Romeo Junior Elettrica 54 kWh,0.125,0.3050672182006204,0.1925925925925926,0.0727969348659003,0.3363636363636363,0.4023668639053254,0.2222222222222222,0.0,0.1779842744817727,0.4285714285714285,0.2416958041958044,0.3638297872340423,0.3089802130898018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Romeo Junior Elettrica 54 kWh Veloce,0.375,0.3050672182006204,0.2555555555555555,0.210727969348659,0.3181818181818181,0.2248520710059171,0.2222222222222222,0.0,0.1779842744817727,0.4285714285714285,0.2416958041958044,0.3638297872340423,0.2678843226788432,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,A290 Electric 180 hp,0.175,0.3174767321613237,0.2111111111111111,0.1111111111111111,0.3181818181818181,0.3076923076923076,0.1626984126984127,0.2,0.1250893495353824,0.4285714285714285,0.1647727272727273,0.4531914893617021,0.278538812785388,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,A290 Electric 220 hp,0.2249999999999999,0.3174767321613237,0.2222222222222222,0.1340996168582375,0.3090909090909091,0.2485207100591715,0.1626984126984127,0.2,0.1250893495353824,0.4285714285714285,0.1647727272727273,0.4531914893617021,0.278538812785388,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
